Time (s),EMG Signal with Noise
0.0,0.14901424590336979
0.001,-0.004294570972184351
0.002,0.2656501343811238
0.003,0.5566557476948696
0.004,0.049981798302399356
0.005,0.06115417267990254
0.006,0.6065328990456992
0.007,0.35505771645873896
0.008,-0.031882933125630855
0.009000000000000001,0.25009790495002493
0.01,-0.07635869106158653
0.011,-0.10172548016625277
0.012,0.08892295080094144
0.013000000000000001,-0.5735671902373923
0.014,-0.5250694718957872
0.015,-0.1749956014794295
0.016,-0.299099997472639
0.017,0.1193760553021148
0.018000000000000002,-0.21905036741091988
0.019,-0.33634331132621986
0.02,0.5640395742588936
0.021,0.09358956243648262
0.022,0.21551295439428705
0.023,-0.20401312519155418
0.024,0.08031162506047809
0.025,0.28778527410043353
0.026000000000000002,-0.08972061669357069
0.027,0.36002087720268966
0.028,0.05090837984086437
0.029,0.12159951385613713
0.03,0.003550292673519954
0.031,0.7146713036760872
0.032,0.13285914076797375
0.033,-0.1967617602674336
0.034,0.3588456124980834
0.035,-0.2533634492087703
0.036000000000000004,0.18611131019737776
0.037,-0.4446111285564113
0.038,-0.22744440958803255
0.039,0.2635086374059086
0.04,0.4624168110494807
0.041,0.3286758545686318
0.042,0.27589564133065564
0.043000000000000003,0.2477903576514614
0.044,-0.08586363050006511
0.045,0.15196013497108565
0.046,0.23011119370871366
0.047,0.6764761755472635
0.048,0.44549848666316383
0.049,-0.2092239954601918
0.05,0.3911178169646749
0.051000000000000004,0.1525261079663696
0.052000000000000005,0.042110023526267554
0.053,0.41153099375993263
0.054,0.5280398857646201
0.055,0.4980960306092044
0.056,-0.023342927811584813
0.057,0.15462746568361913
0.058,0.37360643790894765
0.059000000000000004,0.5994282427597253
0.06,0.19852128161075724
0.061,0.32203065934475217
0.062,0.07820301792686338
0.063,0.07780755081793633
0.064,0.6990179107917281
0.065,0.8713563222819527
0.066,0.44225917383450214
0.067,0.754932141517193
0.068,0.5443950231115893
0.069,0.21858702856168138
0.07,0.49367530304041857
0.07100000000000001,0.8197404212858077
0.07200000000000001,0.32361787910607653
0.073,0.7854865966306249
0.074,-0.4802456904210003
0.075,0.5510792485000409
0.076,0.33917809420052797
0.077,0.2411623942369588
